Datum;Anfang;Ende;Gesamt (Netzlast) [MWh] Originalauflösungen;Residuallast [MWh] Originalauflösungen;Pumpspeicher [MWh] Originalauflösungen
01.01.2021;00:00;00:15;11.245,75;10.110,5;106,75
01.01.2021;00:15;00:30;11.192,75;10.085,5;110,75
01.01.2021;00:30;00:45;11.103,25;10.055,25;152,75
01.01.2021;00:45;01:00;11.044,25;10.017,25;155
01.01.2021;01:00;01:15;10.879,25;9.850,25;90
01.01.2021;01:15;01:30;10.749,5;9.744,75;61,25
01.01.2021;01:30;01:45;10.623,5;9.657;105,75
01.01.2021;01:45;02:00;10.580;9.644,25;122,25
01.01.2021;02:00;02:15;10.399,5;9.488,75;376,75
01.01.2021;02:15;02:30;10.303,5;9.410;394,5
01.01.2021;02:30;02:45;10.241,75;9.369,75;523
01.01.2021;02:45;03:00;10.166,25;9.320,25;581,75
01.01.2021;03:00;03:15;10.125,75;9.303;805,25
01.01.2021;03:15;03:30;10.105,5;9.318;904,75
01.01.2021;03:30;03:45;10.086,25;9.330,25;1.067
01.01.2021;03:45;04:00;10.047;9.306,5;1.161,25
01.01.2021;04:00;04:15;10.125,75;9.400,5;1.249,25
01.01.2021;04:15;04:30;10.092,75;9.389,5;1.137,5
01.01.2021;04:30;04:45;10.079,5;9.391,75;1.102,5
01.01.2021;04:45;05:00;10.020;9.347,5;1.140,5
01.01.2021;05:00;05:15;9.977,25;9.314;861,75
01.01.2021;05:15;05:30;9.885;9.240;897,75
01.01.2021;05:30;05:45;9.883,5;9.241;941,5
01.01.2021;05:45;06:00;9.896;9.274;1.078,5
01.01.2021;06:00;06:15;9.784;9.144,5;856,5
01.01.2021;06:15;06:30;9.753,75;9.113,5;906,25
01.01.2021;06:30;06:45;9.740,75;9.104,25;802,25
01.01.2021;06:45;07:00;9.763,5;9.158,75;753,5
01.01.2021;07:00;07:15;9.809,25;9.226,75;684,75
01.01.2021;07:15;07:30;9.852,5;9.256,5;563,25
01.01.2021;07:30;07:45;9.909,5;9.312,5;503,5
01.01.2021;07:45;08:00;9.951;9.362,25;492
