Datum;Anfang;Ende;Gesamt (Netzlast) [MWh] Originalauflösungen;Residuallast [MWh] Originalauflösungen;Pumpspeicher [MWh] Originalauflösungen
01.01.2017;00:00;00:15;11.843,25;8.042,25;87,25
01.01.2017;00:15;00:30;11.799;7.982;147
01.01.2017;00:30;00:45;11.789;7.942,75;172,25
01.01.2017;00:45;01:00;11.701,25;7.868,25;173,75
01.01.2017;01:00;01:15;11.637,75;7.801,75;277,25
01.01.2017;01:15;01:30;11.491,25;7.662,25;339,75
01.01.2017;01:30;01:45;11.382,5;7.549,75;369,5
01.01.2017;01:45;02:00;11.302,75;7.491;384
01.01.2017;02:00;02:15;11.237,5;7.424;107,5
01.01.2017;02:15;02:30;11.173,25;7.389,75;179,5
01.01.2017;02:30;02:45;11.073,5;7.344,5;384
01.01.2017;02:45;03:00;10.962;7.256;444
01.01.2017;03:00;03:15;10.880;7.186;490
01.01.2017;03:15;03:30;10.815,75;7.123,5;561,75
01.01.2017;03:30;03:45;10.795,5;7.117,75;574,25
01.01.2017;03:45;04:00;10.735,5;7.031,5;644,25
01.01.2017;04:00;04:15;10.726,5;7.008;697
01.01.2017;04:15;04:30;10.632,5;6.915;624,75
01.01.2017;04:30;04:45;10.580,5;6.873,5;575
01.01.2017;04:45;05:00;10.489,25;6.747,25;679
01.01.2017;05:00;05:15;10.438,75;6.668;660,75
01.01.2017;05:15;05:30;10.345,5;6.545,25;800
01.01.2017;05:30;05:45;10.236,5;6.430,25;880
01.01.2017;05:45;06:00;10.148,75;6.323,75;966,5
01.01.2017;06:00;06:15;9.910,75;6.008,75;1.042,25
01.01.2017;06:15;06:30;9.911,5;6.040,5;1.054,75
01.01.2017;06:30;06:45;9.913;6.054;930,5
01.01.2017;06:45;07:00;9.909,75;6.014,25;834,25
01.01.2017;07:00;07:15;10.015,25;6.118,75;764,5
01.01.2017;07:15;07:30;10.036,75;6.183,75;691,5
01.01.2017;07:30;07:45;10.073,75;6.206,25;595,75
01.01.2017;07:45;08:00;10.103,25;6.204;493,75
01.01.2017;08:00;08:15;10.147,5;6.256,25;496,75
01.01.2017;08:15;08:30;10.173,5;6.266,75;446
01.01.2017;08:30;08:45;10.257,5;6.298,75;421,75
01.01.2017;08:45;09:00;10.409,25;6.341,5;397,75
01.01.2017;09:00;09:15;10.618,5;6.426,75;451,25
01.01.2017;09:15;09:30;10.768,5;6.453,5;400,25
01.01.2017;09:30;09:45;10.958,25;6.535,75;406,25
01.01.2017;09:45;10:00;11.106,75;6.555,75;383,25
01.01.2017;10:00;10:15;11.245,25;6.594,5;362
01.01.2017;10:15;10:30;11.431,75;6.729,5;214
01.01.2017;10:30;10:45;11.577,75;6.894,25;193,75
01.01.2017;10:45;11:00;11.758,5;7.034;114,75
01.01.2017;11:00;11:15;11.890;7.096;299
01.01.2017;11:15;11:30;12.157,5;7.287,25;237,5
01.01.2017;11:30;11:45;12.249,75;7.264,5;280
01.01.2017;11:45;12:00;12.295,5;7.268,75;289,25
01.01.2017;12:00;12:15;12.401;7.348,25;241,75
01.01.2017;12:15;12:30;12.388,75;7.361,5;254,25
01.01.2017;12:30;12:45;12.375;7.453,75;212,25
01.01.2017;12:45;13:00;12.291;7.497,25;141,75
01.01.2017;13:00;13:15;12.188;7.518;181,25
01.01.2017;13:15;13:30;12.089,25;7.508,25;190,75
01.01.2017;13:30;13:45;12.060,5;7.620,75;151,75
01.01.2017;13:45;14:00;12.008,75;7.765;60,75
01.01.2017;14:00;14:15;12.005,5;8.023,5;19,5
01.01.2017;14:15;14:30;11.971,75;8.248,25;12,75
01.01.2017;14:30;14:45;11.910,5;8.492;13,25
01.01.2017;14:45;15:00;11.854,75;8.672,5;13,5
01.01.2017;15:00;15:15;11.984,5;9.055;30,5
01.01.2017;15:15;15:30;11.988,5;9.295,25;12,5
01.01.2017;15:30;15:45;12.039;9.502,25;10,5
01.01.2017;15:45;16:00;12.076,5;9.666,25;10,5
01.01.2017;16:00;16:15;12.261,25;9.939,75;173,25
01.01.2017;16:15;16:30;12.420;10.158,25;98
01.01.2017;16:30;16:45;12.696,75;10.446,25;36,75
01.01.2017;16:45;17:00;13.078,25;10.779,5;36
01.01.2017;17:00;17:15;13.476;11.137,75;2
01.01.2017;17:15;17:30;13.672,25;11.297;0
01.01.2017;17:30;17:45;13.748,25;11.359,25;0,25
01.01.2017;17:45;18:00;13.799,25;11.383,25;0
01.01.2017;18:00;18:15;13.890,25;11.419,5;0,25
01.01.2017;18:15;18:30;13.899,75;11.457;0
01.01.2017;18:30;18:45;13.891,25;11.444,5;0,25
01.01.2017;18:45;19:00;13.847;11.409,75;0
01.01.2017;19:00;19:15;13.837;11.375,75;0,25
01.01.2017;19:15;19:30;13.756,25;11.250,25;0,75
01.01.2017;19:30;19:45;13.669,5;11.111,5;1
01.01.2017;19:45;20:00;13.541,5;10.892,5;0,75
01.01.2017;20:00;20:15;13.426,25;10.692,5;3,5
01.01.2017;20:15;20:30;13.237,75;10.499;0
01.01.2017;20:30;20:45;13.057;10.293;1,25
01.01.2017;20:45;21:00;12.916,5;10.122,5;4,5
01.01.2017;21:00;21:15;12.864,75;10.024,25;29
01.01.2017;21:15;21:30;12.793;9.944;35
01.01.2017;21:30;21:45;12.718,75;9.834,5;77,75
01.01.2017;21:45;22:00;12.728,75;9.784,5;178
01.01.2017;22:00;22:15;12.908,5;9.900,75;141,75
01.01.2017;22:15;22:30;12.812;9.799;160,5
01.01.2017;22:30;22:45;12.641,5;9.553;154,5
01.01.2017;22:45;23:00;12.508,5;9.365,75;271,5
01.01.2017;23:00;23:15;12.301,5;9.238,5;210
01.01.2017;23:15;23:30;12.192,5;9.174;301
01.01.2017;23:30;23:45;11.967,25;8.944;408,75
01.01.2017;23:45;00:00;11.794,5;8.750,25;542,5
02.01.2017;00:00;00:15;11.638,75;8.593;542,25
02.01.2017;00:15;00:30;11.462;8.397,25;619,5
02.01.2017;00:30;00:45;11.340,25;8.232,75;757
02.01.2017;00:45;01:00;11.097;7.969,5;855,75
02.01.2017;01:00;01:15;11.086,75;7.922,75;594,5
02.01.2017;01:15;01:30;10.997;7.780,5;656,5
02.01.2017;01:30;01:45;10.856,75;7.634;717,25
02.01.2017;01:45;02:00;10.745,25;7.585,5;709,25
02.01.2017;02:00;02:15;10.749;7.614,5;556
02.01.2017;02:15;02:30;10.688,5;7.585;674,5
02.01.2017;02:30;02:45;10.663,5;7.569,5;766,25
02.01.2017;02:45;03:00;10.630,25;7.534,75;804,75
02.01.2017;03:00;03:15;10.647,5;7.528,75;805,5
02.01.2017;03:15;03:30;10.626;7.533;830,25
02.01.2017;03:30;03:45;10.832,25;7.798,25;831,25
02.01.2017;03:45;04:00;10.873;7.861,5;894
02.01.2017;04:00;04:15;10.905,25;7.919,75;800
02.01.2017;04:15;04:30;11.099,5;8.181;725,75
02.01.2017;04:30;04:45;11.213,25;8.329,25;650,5
02.01.2017;04:45;05:00;11.261;8.377,25;737
02.01.2017;05:00;05:15;11.437,5;8.554,5;913
02.01.2017;05:15;05:30;11.644,5;8.790,5;933
02.01.2017;05:30;05:45;11.909,75;9.043;847,75
02.01.2017;05:45;06:00;12.213;9.290,5;611,25
02.01.2017;06:00;06:15;12.641,25;9.699;747,25
02.01.2017;06:15;06:30;13.102,75;10.143,25;514
02.01.2017;06:30;06:45;13.545,25;10.592,25;374,75
02.01.2017;06:45;07:00;13.927,25;11.050;236,25
02.01.2017;07:00;07:15;14.383,5;11.553,5;276,25
02.01.2017;07:15;07:30;14.817,5;11.962,25;226,75
02.01.2017;07:30;07:45;15.134;12.198;32
02.01.2017;07:45;08:00;15.512;12.554,5;63
02.01.2017;08:00;08:15;15.748;12.854,5;15,75
02.01.2017;08:15;08:30;15.885,25;13.044,75;29,75
02.01.2017;08:30;08:45;16.037;13.225;52,25
02.01.2017;08:45;09:00;16.174,5;13.434,25;48,75
02.01.2017;09:00;09:15;16.275,5;13.534,25;40,75
02.01.2017;09:15;09:30;16.432;13.686;9,25
02.01.2017;09:30;09:45;16.638;13.843;0,25
02.01.2017;09:45;10:00;16.682,5;13.816;0,75
02.01.2017;10:00;10:15;16.792;13.859;1,25
02.01.2017;10:15;10:30;16.851;13.913,5;1
02.01.2017;10:30;10:45;16.956,25;13.996,5;1,25
02.01.2017;10:45;11:00;17.049,5;14.068,25;1
02.01.2017;11:00;11:15;17.107,25;14.136,25;1,25
02.01.2017;11:15;11:30;17.191;14.172,25;1
02.01.2017;11:30;11:45;17.219,25;14.199,75;2
02.01.2017;11:45;12:00;17.259,25;14.188,5;2
02.01.2017;12:00;12:15;17.250,25;14.096,75;2
02.01.2017;12:15;12:30;17.229,75;14.039,25;0,5
02.01.2017;12:30;12:45;17.203,25;13.989,25;1,25
02.01.2017;12:45;13:00;17.141,25;13.905,25;1,5
02.01.2017;13:00;13:15;17.184,5;13.977,75;1,75
02.01.2017;13:15;13:30;17.040;13.929,25;1,5
02.01.2017;13:30;13:45;16.916;13.820,25;1,5
02.01.2017;13:45;14:00;16.709,75;13.572,25;63
02.01.2017;14:00;14:15;16.728,75;13.662,25;12,5
02.01.2017;14:15;14:30;16.751,25;13.715;1,5
02.01.2017;14:30;14:45;16.697,5;13.692,5;10,25
02.01.2017;14:45;15:00;16.567,75;13.635,25;25,75
02.01.2017;15:00;15:15;16.643,5;13.813,75;22,75
02.01.2017;15:15;15:30;16.589;13.851,25;11,5
02.01.2017;15:30;15:45;16.541,25;13.844,25;28,75
02.01.2017;15:45;16:00;16.481,75;13.755;38,25
02.01.2017;16:00;16:15;16.530,75;13.858,25;73
02.01.2017;16:15;16:30;16.661,5;13.994;71,25
02.01.2017;16:30;16:45;16.922,5;14.165;2
02.01.2017;16:45;17:00;17.176,5;14.349,25;1
02.01.2017;17:00;17:15;17.475,75;14.598,75;74,5
02.01.2017;17:15;17:30;17.622,25;14.712,25;52,5
02.01.2017;17:30;17:45;17.676,75;14.691,25;30,5
02.01.2017;17:45;18:00;17.688,75;14.599,5;52,25
02.01.2017;18:00;18:15;17.610,75;14.438,25;39,75
02.01.2017;18:15;18:30;17.526;14.253,25;144,5
02.01.2017;18:30;18:45;17.451,25;14.075;202
02.01.2017;18:45;19:00;17.466,75;14.076,75;112,5
02.01.2017;19:00;19:15;17.374,25;13.983,5;9,25
02.01.2017;19:15;19:30;17.265,5;13.817,5;0,25
02.01.2017;19:30;19:45;17.167;13.696,25;0,25
02.01.2017;19:45;20:00;17.050;13.657,25;0
02.01.2017;20:00;20:15;16.682,25;13.208,75;30,75
02.01.2017;20:15;20:30;16.379;12.926;87,25
02.01.2017;20:30;20:45;16.103,25;12.624,75;109,25
02.01.2017;20:45;21:00;15.826,25;12.336,25;208,25
02.01.2017;21:00;21:15;15.687,25;12.173,5;39,5
02.01.2017;21:15;21:30;15.476,75;11.955,5;45
02.01.2017;21:30;21:45;15.290,75;11.752,25;74,5
02.01.2017;21:45;22:00;15.187;11.610,25;79,75
02.01.2017;22:00;22:15;15.319,5;11.730,25;37,75
02.01.2017;22:15;22:30;15.125,75;11.472;5,5
02.01.2017;22:30;22:45;14.943,25;11.252,75;48,25
02.01.2017;22:45;23:00;14.686,75;11.007,5;55,75
02.01.2017;23:00;23:15;14.476,5;10.705,5;43,75
02.01.2017;23:15;23:30;14.244,25;10.386,5;250,25
02.01.2017;23:30;23:45;14.005,25;10.095,75;454,25
02.01.2017;23:45;00:00;13.765,75;9.759,75;579
03.01.2017;00:00;00:15;13.637;9.614,25;443,75
03.01.2017;00:15;00:30;13.397,5;9.345;460
03.01.2017;00:30;00:45;13.190,25;9.079,5;492,5
03.01.2017;00:45;01:00;12.881,75;8.742;780,5
03.01.2017;01:00;01:15;12.801,25;8.694,75;647
03.01.2017;01:15;01:30;12.671,75;8.545,25;660
03.01.2017;01:30;01:45;12.575,75;8.461;709,5
