Datum;Anfang;Ende;Gesamt (Netzlast) [MWh] Originalauflösungen;Residuallast [MWh] Originalauflösungen;Pumpspeicher [MWh] Originalauflösungen
01.01.2023;00:00;00:15;9.720,75;1.890,75;424,75
01.01.2023;00:15;00:30;9.641,25;1.739,5;443,5
01.01.2023;00:30;00:45;9.609,5;1.490,25;546,25
01.01.2023;00:45;01:00;9.565;1.646,25;519
01.01.2023;01:00;01:15;9.473,5;1.366;222,5
01.01.2023;01:15;01:30;9.448;1.216,75;383,25
01.01.2023;01:30;01:45;9.550,25;1.346,75;653,25
01.01.2023;01:45;02:00;9.463,75;1.115;766,5
01.01.2023;02:00;02:15;9.358,5;1.119,75;764,75
01.01.2023;02:15;02:30;9.306;917,25;863,5
01.01.2023;02:30;02:45;9.250,75;1.051,5;943,5
01.01.2023;02:45;03:00;9.188;906,5;1.065
01.01.2023;03:00;03:15;9.140,5;1.308,25;1.078,25
01.01.2023;03:15;03:30;9.012,25;1.358,5;1.113
01.01.2023;03:30;03:45;8.989,25;1.455,5;1.106,25
01.01.2023;03:45;04:00;8.997,5;1.545,5;1.088
01.01.2023;04:00;04:15;8.962,75;1.402,75;1.084,5
01.01.2023;04:15;04:30;8.911,25;1.414,5;1.097,5
01.01.2023;04:30;04:45;8.906;1.473;1.128,25
01.01.2023;04:45;05:00;8.931,5;1.520,25;1.101,25
01.01.2023;05:00;05:15;8.970;1.292;1.240,25
01.01.2023;05:15;05:30;8.969;1.425,75;1.194,75
01.01.2023;05:30;05:45;8.979;1.525,75;1.129,5
01.01.2023;05:45;06:00;8.936,25;1.475,75;1.145,5
01.01.2023;06:00;06:15;8.841,25;1.301,5;1.329
01.01.2023;06:15;06:30;8.887,75;1.415,75;1.347,5
01.01.2023;06:30;06:45;8.828,75;1.368;1.321
01.01.2023;06:45;07:00;8.840;1.421,25;1.289,25
01.01.2023;07:00;07:15;9.002;1.295,75;1.122,75
01.01.2023;07:15;07:30;9.054,25;1.410;1.045
01.01.2023;07:30;07:45;9.112;1.446,25;982,25
01.01.2023;07:45;08:00;9.168,25;1.582,25;930,5
01.01.2023;08:00;08:15;9.100,5;1.616,75;895,25
01.01.2023;08:15;08:30;9.171,5;1.682,75;929,5
01.01.2023;08:30;08:45;9.303,25;1.802,25;799,75
01.01.2023;08:45;09:00;9.410,5;1.806,75;761,75
01.01.2023;09:00;09:15;9.560,75;1.772,5;554,25
01.01.2023;09:15;09:30;9.786,5;1.798,5;569,75
01.01.2023;09:30;09:45;9.954,75;1.850,25;538,25
01.01.2023;09:45;10:00;10.087,75;1.826,75;657,25
01.01.2023;10:00;10:15;10.021,25;1.533,5;468,75
01.01.2023;10:15;10:30;10.188,25;1.629,75;489,75
01.01.2023;10:30;10:45;10.399,25;1.799,75;472
01.01.2023;10:45;11:00;10.562;1.932,25;434,75
01.01.2023;11:00;11:15;10.692;1.988,25;408,5
01.01.2023;11:15;11:30;10.946,5;2.123,5;311,5
01.01.2023;11:30;11:45;11.093,5;2.120;296,5
