Datum;Anfang;Ende;Gesamt (Netzlast) [MWh] Originalauflösungen;Residuallast [MWh] Originalauflösungen;Pumpspeicher [MWh] Originalauflösungen
01.01.2015;00:00;00:15;11.210;9.051,75;123
01.01.2015;00:15;00:30;11.118,75;8.966,5;154,25
01.01.2015;00:30;00:45;11.144,75;8.976;160,5
01.01.2015;00:45;01:00;11.126,75;8.961,5;163,75
01.01.2015;01:00;01:15;11.009,5;8.835;87,5
01.01.2015;01:15;01:30;10.923,25;8.718,75;86
01.01.2015;01:30;01:45;10.817;8.613,5;86,25
01.01.2015;01:45;02:00;10.705;8.473,75;86,5
01.01.2015;02:00;02:15;10.650;8.386,5;86,25
01.01.2015;02:15;02:30;10.546,75;8.284;94,25
01.01.2015;02:30;02:45;10.437,75;8.180,75;120,75
01.01.2015;02:45;03:00;10.328,75;8.058;220,5
01.01.2015;03:00;03:15;10.258;7.980;285,25
01.01.2015;03:15;03:30;10.178;7.923;293
01.01.2015;03:30;03:45;10.119,25;7.868;326,5
01.01.2015;03:45;04:00;10.062,5;7.777;323,5
01.01.2015;04:00;04:15;10.035,25;7.721,5;430,25
01.01.2015;04:15;04:30;9.963,25;7.652,5;435,25
01.01.2015;04:30;04:45;9.980;7.700;446,75
01.01.2015;04:45;05:00;9.958,25;7.699,5;509,25
01.01.2015;05:00;05:15;9.940,25;7.610,25;562,25
01.01.2015;05:15;05:30;9.867;7.550,25;598,75
01.01.2015;05:30;05:45;9.795;7.494,25;637
01.01.2015;05:45;06:00;9.670,25;7.386;660,25
01.01.2015;06:00;06:15;9.472,25;7.159,25;679,5
01.01.2015;06:15;06:30;9.445,75;7.079,25;725,75
01.01.2015;06:30;06:45;9.477;7.001;747,25
01.01.2015;06:45;07:00;9.455,25;6.922;714,75
01.01.2015;07:00;07:15;9.487;6.951,25;730
01.01.2015;07:15;07:30;9.488;6.921;732,75
01.01.2015;07:30;07:45;9.539,75;6.930,75;742,25
01.01.2015;07:45;08:00;9.583,75;6.964,25;696,25
01.01.2015;08:00;08:15;9.626;7.029,75;754
01.01.2015;08:15;08:30;9.631,75;7.020;777,5
01.01.2015;08:30;08:45;9.696,75;7.171,25;571,75
01.01.2015;08:45;09:00;9.838;7.310,25;536,5
01.01.2015;09:00;09:15;10.061,25;7.509,25;523
01.01.2015;09:15;09:30;10.244,75;7.584,75;416,75
01.01.2015;09:30;09:45;10.448;7.698;414,5
01.01.2015;09:45;10:00;10.652,25;7.812,25;419
01.01.2015;10:00;10:15;10.804,25;7.846,5;417,75
01.01.2015;10:15;10:30;10.971;7.898,5;311,25
01.01.2015;10:30;10:45;11.157;7.929,25;298,25
01.01.2015;10:45;11:00;11.334,25;7.925,5;272,5
01.01.2015;11:00;11:15;11.586,5;8.058,25;213,5
01.01.2015;11:15;11:30;11.739,75;8.113,25;148,75
01.01.2015;11:30;11:45;11.888,25;8.157,25;137,75
01.01.2015;11:45;12:00;11.991,75;8.123,5;208,25
01.01.2015;12:00;12:15;12.071,5;8.099;171,5
01.01.2015;12:15;12:30;12.162,25;8.065,5;235,75
01.01.2015;12:30;12:45;12.174,75;8.043,75;181,75
01.01.2015;12:45;13:00;12.093,75;7.992,75;300,25
01.01.2015;13:00;13:15;12.000;7.928,75;185,75
01.01.2015;13:15;13:30;11.888,25;7.810,25;213,5
01.01.2015;13:30;13:45;11.838,25;7.858,75;225,25
01.01.2015;13:45;14:00;11.801,25;7.924,5;189,25
01.01.2015;14:00;14:15;11.789;8.065;150,25
01.01.2015;14:15;14:30;11.708,5;8.088,25;130,75
01.01.2015;14:30;14:45;11.684,5;8.197;130,75
01.01.2015;14:45;15:00;11.590;8.222,25;132,25
01.01.2015;15:00;15:15;11.657,25;8.423,75;43,5
01.01.2015;15:15;15:30;11.676,75;8.542,5;30,75
01.01.2015;15:30;15:45;11.674,75;8.577,75;34
01.01.2015;15:45;16:00;11.724,75;8.593;107,75
01.01.2015;16:00;16:15;11.822,25;8.616,75;158,5
01.01.2015;16:15;16:30;12.064;8.719;144
01.01.2015;16:30;16:45;12.426,25;8.947,25;150
01.01.2015;16:45;17:00;12.804,25;9.201,25;105,5
01.01.2015;17:00;17:15;13.154;9.466,25;89
01.01.2015;17:15;17:30;13.378,75;9.581;75,25
01.01.2015;17:30;17:45;13.533,5;9.594,5;67
01.01.2015;17:45;18:00;13.558;9.546,5;87,25
01.01.2015;18:00;18:15;13.611,75;9.509;91,25
01.01.2015;18:15;18:30;13.604,25;9.413,25;106,25
01.01.2015;18:30;18:45;13.588,5;9.336;160,25
01.01.2015;18:45;19:00;13.500,75;9.179;187,5
01.01.2015;19:00;19:15;13.497,25;9.077;86,25
01.01.2015;19:15;19:30;13.485,25;9.016,25;91
01.01.2015;19:30;19:45;13.380;8.847,25;116
01.01.2015;19:45;20:00;13.272;8.686;120,75
01.01.2015;20:00;20:15;13.169,25;8.491,25;101,25
01.01.2015;20:15;20:30;12.974;8.225,75;109,25
01.01.2015;20:30;20:45;12.720,75;7.899;119,75
01.01.2015;20:45;21:00;12.571,75;7.638,5;129,5
01.01.2015;21:00;21:15;12.551,5;7.551;183
01.01.2015;21:15;21:30;12.514,25;7.458,25;151,5
01.01.2015;21:30;21:45;12.472,5;7.367,5;193,75
01.01.2015;21:45;22:00;12.553,5;7.362,5;138
01.01.2015;22:00;22:15;12.791,25;7.528,25;57
01.01.2015;22:15;22:30;12.622;7.319,25;57,5
01.01.2015;22:30;22:45;12.482,25;7.187,75;95
01.01.2015;22:45;23:00;12.269,75;6.894,5;215,5
01.01.2015;23:00;23:15;12.164;6.768,75;84,75
01.01.2015;23:15;23:30;11.953,25;6.473;193,75
01.01.2015;23:30;23:45;11.755;6.165,5;268,75
01.01.2015;23:45;00:00;11.606;5.988;331,5
02.01.2015;00:00;00:15;11.259;5.632;434
02.01.2015;00:15;00:30;11.305,75;5.766;451,25
02.01.2015;00:30;00:45;11.019;5.419;496
02.01.2015;00:45;01:00;10.876,75;5.171,75;629
02.01.2015;01:00;01:15;10.817,5;5.039,5;765,5
02.01.2015;01:15;01:30;10.686,75;4.891,75;847
02.01.2015;01:30;01:45;10.616,25;4.728,5;861,75
02.01.2015;01:45;02:00;10.550;4.576,25;678,5
