Datum;Anfang;Ende;Gesamt (Netzlast) [MWh] Originalauflösungen;Residuallast [MWh] Originalauflösungen;Pumpspeicher [MWh] Originalauflösungen
01.01.2019;00:00;00:15;10.982,75;5.349,25;456,75
01.01.2019;00:15;00:30;10.864,75;5.040,5;333,75
01.01.2019;00:30;00:45;10.737,75;4.732,5;280
01.01.2019;00:45;01:00;10.680,25;4.617,5;304,5
01.01.2019;01:00;01:15;10.599;4.485;249,75
01.01.2019;01:15;01:30;10.476,25;4.233,25;276
01.01.2019;01:30;01:45;10.357,75;3.960,75;463,25
01.01.2019;01:45;02:00;10.221;3.741,25;544,5
01.01.2019;02:00;02:15;10.146;3.733;528
01.01.2019;02:15;02:30;10.051;3.613,75;593
01.01.2019;02:30;02:45;9.983,75;3.632,75;644
01.01.2019;02:45;03:00;9.933;3.460,75;833,5
01.01.2019;03:00;03:15;9.893,25;3.211,75;790
01.01.2019;03:15;03:30;9.812,25;3.066;772
01.01.2019;03:30;03:45;9.806,25;2.957,75;860,5
01.01.2019;03:45;04:00;9.801,25;2.887,5;1.011
01.01.2019;04:00;04:15;9.801,25;2.684,5;950,75
01.01.2019;04:15;04:30;9.785;2.568,5;927
01.01.2019;04:30;04:45;9.774,75;2.487;944,75
01.01.2019;04:45;05:00;9.736,25;2.380,25;1.003,5
01.01.2019;05:00;05:15;9.740,5;2.228,5;1.108,5
01.01.2019;05:15;05:30;9.670,25;2.113,25;1.197,75
01.01.2019;05:30;05:45;9.651;2.039,5;1.294
01.01.2019;05:45;06:00;9.572,75;1.975;1.377,5
01.01.2019;06:00;06:15;9.485,75;1.719,75;1.354,25
01.01.2019;06:15;06:30;9.489,75;1.642;1.388
01.01.2019;06:30;06:45;9.531;1.587;1.405,25
01.01.2019;06:45;07:00;9.614,75;1.620,5;1.423,25
01.01.2019;07:00;07:15;9.648;1.653,5;1.394,75
01.01.2019;07:15;07:30;9.703,75;1.615,25;1.397,25
01.01.2019;07:30;07:45;9.719;1.580,75;1.382,5
01.01.2019;07:45;08:00;9.804;1.666;1.380
01.01.2019;08:00;08:15;9.817,25;1.571;1.141
01.01.2019;08:15;08:30;9.854;1.574,5;1.049
01.01.2019;08:30;08:45;9.962,5;1.638,5;1.024
01.01.2019;08:45;09:00;10.058,75;1.688,25;992,25
01.01.2019;09:00;09:15;10.293,75;1.921,5;1.153,75
01.01.2019;09:15;09:30;10.462,25;2.091;1.077,75
01.01.2019;09:30;09:45;10.659,5;2.337,5;912,25
01.01.2019;09:45;10:00;10.820;2.357,5;901,75
01.01.2019;10:00;10:15;11.010,5;2.374;863,5
01.01.2019;10:15;10:30;11.160;2.405,5;777,25
01.01.2019;10:30;10:45;11.314;2.436,5;670
01.01.2019;10:45;11:00;11.440,25;2.442,75;581,25
01.01.2019;11:00;11:15;11.701,5;2.431,25;640
01.01.2019;11:15;11:30;11.899,75;2.462,75;603,5
01.01.2019;11:30;11:45;12.072,75;2.516;524,25
01.01.2019;11:45;12:00;12.117,25;2.522;495,25
01.01.2019;12:00;12:15;12.236,25;2.644,25;498,25
01.01.2019;12:15;12:30;12.301,25;2.744,75;489,25
01.01.2019;12:30;12:45;12.283,75;2.675;527,5
01.01.2019;12:45;13:00;12.301,75;2.696,75;552,5
01.01.2019;13:00;13:15;12.250;2.623,75;266,25
01.01.2019;13:15;13:30;12.189;2.531;299,75
01.01.2019;13:30;13:45;12.187,25;2.526,25;317
01.01.2019;13:45;14:00;12.166;2.464;344
01.01.2019;14:00;14:15;12.174,25;2.524,5;280,75
01.01.2019;14:15;14:30;12.127;2.549,5;247,5
01.01.2019;14:30;14:45;12.124;2.515,5;264,75
01.01.2019;14:45;15:00;12.109;2.584,25;280,75
01.01.2019;15:00;15:15;12.220,25;2.941;112,75
01.01.2019;15:15;15:30;12.238,25;2.963,5;139,25
01.01.2019;15:30;15:45;12.252,5;2.943,25;195,25
01.01.2019;15:45;16:00;12.255,5;2.833,5;184,75
01.01.2019;16:00;16:15;12.373,5;2.895,25;167,5
01.01.2019;16:15;16:30;12.510,75;2.988,75;114,5
01.01.2019;16:30;16:45;12.784;3.302,25;91,75
01.01.2019;16:45;17:00;13.024;3.519;95,75
01.01.2019;17:00;17:15;13.312,5;3.727,5;101,25
01.01.2019;17:15;17:30;13.419,75;3.760,5;102
01.01.2019;17:30;17:45;13.536,75;3.886;91
01.01.2019;17:45;18:00;13.627;3.993,5;81
01.01.2019;18:00;18:15;13.671,5;4.033,25;78
01.01.2019;18:15;18:30;13.677;4.076,25;82,25
01.01.2019;18:30;18:45;13.665,25;3.989,5;83,75
01.01.2019;18:45;19:00;13.649,75;4.005;133,25
01.01.2019;19:00;19:15;13.607,25;4.063,5;120
01.01.2019;19:15;19:30;13.477,75;3.945,25;172
