Datum;Anfang;Ende;Gesamt (Netzlast) [MWh] Originalauflösungen;Residuallast [MWh] Originalauflösungen;Pumpspeicher [MWh] Originalauflösungen
01.01.2022;00:00;00:15;11.161,5;3.194,75;599,75
01.01.2022;00:15;00:30;11.058,75;3.136;595
01.01.2022;00:30;00:45;10.931,75;3.129;649,5
01.01.2022;00:45;01:00;10.763,5;2.992,5;695
01.01.2022;01:00;01:15;10.549;2.914,5;586,75
01.01.2022;01:15;01:30;10.451;2.851,25;688,75
01.01.2022;01:30;01:45;10.285,25;2.797,25;774,75
01.01.2022;01:45;02:00;10.250,5;2.917;816
01.01.2022;02:00;02:15;10.294,5;2.987,75;774,5
01.01.2022;02:15;02:30;10.158,75;2.937,25;787
01.01.2022;02:30;02:45;10.040,5;2.951,25;815,5
01.01.2022;02:45;03:00;9.987;2.942,5;826,75
01.01.2022;03:00;03:15;9.917,5;2.957,25;907,25
01.01.2022;03:15;03:30;9.890;3.008,5;933,5
01.01.2022;03:30;03:45;9.886,75;3.116,75;907,75
01.01.2022;03:45;04:00;9.869,75;3.100,5;959,5
01.01.2022;04:00;04:15;9.862,25;3.258;1.029,5
01.01.2022;04:15;04:30;9.819,75;3.191;1.015
01.01.2022;04:30;04:45;9.871,25;3.400,25;958
01.01.2022;04:45;05:00;9.785;3.407,5;907,5
01.01.2022;05:00;05:15;9.778;3.584;820,75
01.01.2022;05:15;05:30;9.731,5;3.685,75;798
01.01.2022;05:30;05:45;9.700;3.780,5;810,25
01.01.2022;05:45;06:00;9.617;3.750,5;815,5
01.01.2022;06:00;06:15;9.589,5;3.672,25;759,25
01.01.2022;06:15;06:30;9.597,25;3.694,5;650,75
01.01.2022;06:30;06:45;9.599,25;3.662,5;652,5
01.01.2022;06:45;07:00;9.627;3.693,5;639
01.01.2022;07:00;07:15;9.745,25;3.886,5;679
01.01.2022;07:15;07:30;9.732,25;3.992;552,75
01.01.2022;07:30;07:45;9.781,5;4.142,75;492,25
01.01.2022;07:45;08:00;9.827,75;4.259;521
01.01.2022;08:00;08:15;9.997,5;4.601,25;590
01.01.2022;08:15;08:30;10.069,25;4.836,25;500
01.01.2022;08:30;08:45;10.084,75;4.909,5;501,5
01.01.2022;08:45;09:00;10.153,5;4.892,5;464,25
01.01.2022;09:00;09:15;10.442,5;5.065;565,5
01.01.2022;09:15;09:30;10.581;5.114,25;415,75
01.01.2022;09:30;09:45;10.709;5.238;332,5
01.01.2022;09:45;10:00;10.778,5;5.265;321,25
