Datum;Anfang;Ende;Gesamt (Netzlast) [MWh] Originalauflösungen;Residuallast [MWh] Originalauflösungen;Pumpspeicher [MWh] Originalauflösungen
01.01.2016;00:00;00:15;11.004,75;8.753,75;376,5
01.01.2016;00:15;00:30;10.956,75;8.760,25;360,5
01.01.2016;00:30;00:45;10.913,5;8.760,25;351,25
01.01.2016;00:45;01:00;10.856,75;8.728,25;369
01.01.2016;01:00;01:15;10.695,5;8.563,25;409,5
01.01.2016;01:15;01:30;10.514,25;8.384,75;447,75
01.01.2016;01:30;01:45;10.411,75;8.269;573
01.01.2016;01:45;02:00;10.340,5;8.198,25;588,25
01.01.2016;02:00;02:15;10.224,25;8.086;530
01.01.2016;02:15;02:30;10.110;7.982,5;610
01.01.2016;02:30;02:45;9.994,5;7.876,75;669,75
01.01.2016;02:45;03:00;9.893,75;7.777,75;701,5
01.01.2016;03:00;03:15;9.951,25;7.855,5;740
01.01.2016;03:15;03:30;9.825,25;7.712,25;826,25
01.01.2016;03:30;03:45;9.762,25;7.652;854,5
01.01.2016;03:45;04:00;9.704,25;7.609,5;958
01.01.2016;04:00;04:15;9.741;7.640;963,5
01.01.2016;04:15;04:30;9.696,25;7.575,5;972
01.01.2016;04:30;04:45;9.657;7.555,25;948
01.01.2016;04:45;05:00;9.655,25;7.613,5;847,5
01.01.2016;05:00;05:15;9.663,25;7.720,75;806,75
01.01.2016;05:15;05:30;9.556,75;7.697,5;808,5
01.01.2016;05:30;05:45;9.482,5;7.661;830,75
01.01.2016;05:45;06:00;9.357,5;7.576,5;829
01.01.2016;06:00;06:15;9.209,5;7.477;645,75
01.01.2016;06:15;06:30;9.131,75;7.443;614
01.01.2016;06:30;06:45;9.170,5;7.551,25;589
01.01.2016;06:45;07:00;9.177,25;7.595,75;517,25
01.01.2016;07:00;07:15;9.178,5;7.685;352,5
01.01.2016;07:15;07:30;9.239,25;7.828,25;241,25
01.01.2016;07:30;07:45;9.223;7.835,25;245,5
01.01.2016;07:45;08:00;9.284,25;7.974,25;223,25
01.01.2016;08:00;08:15;9.291,25;8.055,75;331,25
