Datum;Anfang;Ende;Gesamt (Netzlast) [MWh] Originalauflösungen;Residuallast [MWh] Originalauflösungen;Pumpspeicher [MWh] Originalauflösungen
01.01.2018;00:00;00:15;11.510,5;3.816,25;279,75
01.01.2018;00:15;00:30;11.381,25;3.536;353,75
01.01.2018;00:30;00:45;11.293,25;3.371,75;372,25
01.01.2018;00:45;01:00;11.248,25;3.291,5;388
01.01.2018;01:00;01:15;11.173,75;3.104,25;393,75
01.01.2018;01:15;01:30;11.138;3.045,5;429,5
01.01.2018;01:30;01:45;11.010;2.822,5;450,75
01.01.2018;01:45;02:00;10.948,25;2.662;519,75
01.01.2018;02:00;02:15;10.849,25;2.518;621
01.01.2018;02:15;02:30;10.796,5;2.447,75;678,75
01.01.2018;02:30;02:45;10.827;2.541,75;831
01.01.2018;02:45;03:00;10.723;2.421,25;922,25
01.01.2018;03:00;03:15;10.692,25;2.221,5;1.001,75
01.01.2018;03:15;03:30;10.647,25;2.091,75;1.082,75
01.01.2018;03:30;03:45;10.600,25;2.051,5;1.079
01.01.2018;03:45;04:00;10.587,75;2.006,75;1.076,75
01.01.2018;04:00;04:15;10.638,5;2.082,5;1.379,75
01.01.2018;04:15;04:30;10.617;2.043,25;1.462
01.01.2018;04:30;04:45;10.635,5;2.091,25;1.413,5
01.01.2018;04:45;05:00;10.624,75;2.074,25;1.430
01.01.2018;05:00;05:15;10.663,25;1.970,5;1.429,25
01.01.2018;05:15;05:30;10.596;1.883;1.444,5
01.01.2018;05:30;05:45;10.552;1.838,5;1.521,75
01.01.2018;05:45;06:00;10.466,75;1.773,5;1.541
01.01.2018;06:00;06:15;10.318;1.658,5;1.453,25
01.01.2018;06:15;06:30;10.275,25;1.712,5;1.501
01.01.2018;06:30;06:45;10.286,25;1.815,5;1.462
01.01.2018;06:45;07:00;10.329,75;1.829,75;1.466,5
01.01.2018;07:00;07:15;10.375;1.919,25;1.545,25
01.01.2018;07:15;07:30;10.402,25;1.924,25;1.521,5
01.01.2018;07:30;07:45;10.472,5;2.142,25;1.418
01.01.2018;07:45;08:00;10.549,5;2.177;1.434,5
01.01.2018;08:00;08:15;10.631,25;2.325;1.427
01.01.2018;08:15;08:30;10.647,5;2.279;1.413,25
01.01.2018;08:30;08:45;10.745;2.384;1.368,75
01.01.2018;08:45;09:00;10.852,75;2.418,75;1.276,5
01.01.2018;09:00;09:15;11.091;2.499;1.312,75
01.01.2018;09:15;09:30;11.216;2.434,25;1.271,75
01.01.2018;09:30;09:45;11.384,5;2.517;1.143
01.01.2018;09:45;10:00;11.542,75;2.520,5;1.086
01.01.2018;10:00;10:15;11.727,25;2.425,25;802
01.01.2018;10:15;10:30;11.870,75;2.293,75;815,5
01.01.2018;10:30;10:45;12.031,75;2.251,75;776,5
01.01.2018;10:45;11:00;12.157,5;2.213;786,25
01.01.2018;11:00;11:15;12.388,25;2.219,5;698,75
01.01.2018;11:15;11:30;12.546;2.194,75;658
01.01.2018;11:30;11:45;12.694,5;2.350,75;557
01.01.2018;11:45;12:00;12.780,75;2.473,25;456,75
01.01.2018;12:00;12:15;12.888;2.545,75;328,5
01.01.2018;12:15;12:30;12.956,25;2.685,5;341,5
01.01.2018;12:30;12:45;13.048,5;2.822,5;269,5
01.01.2018;12:45;13:00;13.037,75;2.952;269,25
01.01.2018;13:00;13:15;12.890,5;2.975;302,75
01.01.2018;13:15;13:30;12.727,5;3.098;321,5
01.01.2018;13:30;13:45;12.672,5;3.303;376,5
01.01.2018;13:45;14:00;12.521,5;3.474,75;339
01.01.2018;14:00;14:15;12.436;3.793,5;762,75
01.01.2018;14:15;14:30;12.393,75;4.034,75;687,25
01.01.2018;14:30;14:45;12.409,5;4.386,25;560
01.01.2018;14:45;15:00;12.377,75;4.745,75;552,25
01.01.2018;15:00;15:15;12.408,25;4.960;646,25
01.01.2018;15:15;15:30;12.439;5.268,5;556,25
01.01.2018;15:30;15:45;12.455,25;5.573;318
01.01.2018;15:45;16:00;12.469;5.988;212,25
01.01.2018;16:00;16:15;12.609,5;6.416,25;187,25
01.01.2018;16:15;16:30;12.822,25;6.843;158
01.01.2018;16:30;16:45;13.044,25;7.262,75;5
01.01.2018;16:45;17:00;13.397,25;7.721;2,75
01.01.2018;17:00;17:15;13.736;8.140,75;71,25
01.01.2018;17:15;17:30;13.823;8.222,75;51
01.01.2018;17:30;17:45;13.906,25;8.392,5;41,5
01.01.2018;17:45;18:00;13.914,5;8.489,5;0
01.01.2018;18:00;18:15;14.060,75;8.713;57
01.01.2018;18:15;18:30;14.052,75;8.712;91
01.01.2018;18:30;18:45;14.061;8.789,5;92,25
01.01.2018;18:45;19:00;14.003,5;8.785,5;94,75
01.01.2018;19:00;19:15;13.880,75;8.670;59,5
01.01.2018;19:15;19:30;13.773;8.578,75;71,5
01.01.2018;19:30;19:45;13.646,75;8.484,25;78,25
01.01.2018;19:45;20:00;13.522,75;8.409,5;96
01.01.2018;20:00;20:15;13.338,75;8.348;96
01.01.2018;20:15;20:30;13.196,75;8.276,25;106,5
01.01.2018;20:30;20:45;12.951,75;8.076;77
01.01.2018;20:45;21:00;12.757,75;7.995,5;77,25
01.01.2018;21:00;21:15;12.673,75;7.914;40
01.01.2018;21:15;21:30;12.566;7.808,5;15,5
01.01.2018;21:30;21:45;12.503,5;7.736,5;34,75
01.01.2018;21:45;22:00;12.498,25;7.753,25;49,75
01.01.2018;22:00;22:15;12.585,5;7.928,25;376
01.01.2018;22:15;22:30;12.468,25;7.859,5;400,75
01.01.2018;22:30;22:45;12.251,25;7.624,5;443,25
01.01.2018;22:45;23:00;12.162;7.565,75;580,75
01.01.2018;23:00;23:15;11.970,5;7.443;467,75
01.01.2018;23:15;23:30;11.759,5;7.282,75;542
01.01.2018;23:30;23:45;11.539,25;7.102,75;476,25
01.01.2018;23:45;00:00;11.269,5;6.886,75;577
02.01.2018;00:00;00:15;11.147,75;6.829;1.120
